,position,name,varlab,probe,ps_text,box_flag,val0,lab0,val1,lab1,val2,lab2,val3,lab3,val4,lab4,val5,lab5,val6,lab6,val7,lab7
88,9782,k5g2c,G2C. I worry about taking tests,G2.       Iwould also like to ask you some questions about how you get along with otherchildren,I  worry about taking tests,1,,I   worry about taking tests,,,,,,,,,,,,,,
89,9783,k5g2d,G2D. It's hard for me to pay attention,G2.       Iwould also like to ask you some questions about how you get along with otherchildren,It’s  hard for me to pay attention,1,,It’s   hard for me to pay attention,,,,,,,,,,,,,,
90,9784,k5g2e,G2E. I often feel lonely,G2.       Iwould also like to ask you some questions about how you get along with otherchildren,I  often feel lonely,1,,I   often feel lonely,,,,,,,,,,,,,,
91,9785,k5g2f,G2F. I get distracted easily,G2.       Iwould also like to ask you some questions about how you get along with otherchildren,I  get distracted easily,1,,I   get distracted easily,,,,,,,,,,,,,,
92,9786,k5g2g,G2G. I feel sad a lot of the time,G2.       Iwould also like to ask you some questions about how you get along with otherchildren,I  feel sad a lot of the time,1,,I   feel sad a lot of the time,,,,,,,,,,,,,,
93,9787,k5g2h,G2H. It's hard for me to finish my schoolwork,G2.       Iwould also like to ask you some questions about how you get along with otherchildren,It’s  hard for me to finish my schoolwork,1,,It’s   hard for me to finish my schoolwork,,,,,,,,,,,,,,
94,9788,k5g2i,G2I. I worry about doing well in school,G2.       Iwould also like to ask you some questions about how you get along with otherchildren,I  worry about doing well in school,1,,I   worry about doing well in school,,,,,,,,,,,,,,
95,9789,k5g2j,G2J. I worry about finishing my work,G2.       Iwould also like to ask you some questions about how you get along with otherchildren,I  worry about finishing my work,1,,I   worry about finishing my work,,,,,,,,,,,,,,
96,9790,k5g2k,G2K. I worry about having someone to play with,G2.       Iwould also like to ask you some questions about how you get along with otherchildren,I  worry about having someone to play with,1,,I   worry about having someone to play with,,,,,,,,,,,,,,
97,9791,k5g2l,G2L. I feel ashamed when I make mistakes at school,G2.       Iwould also like to ask you some questions about how you get along with otherchildren,I  feel ashamed when I make mistakes at school,1,,I   feel ashamed when I make mistakes at school,,,,,,,,,,,,,,
98,9792,k5g2m,G2M. I get in trouble for talking and disturbing others,G2.       Iwould also like to ask you some questions about how you get along with otherchildren,I  get in trouble for talking and disturbing others,1,,I   get in trouble for talking and disturbing others,,,,,,,,,,,,,,
99,9793,k5g2n,G2N. I get in trouble for fighting with other kids,G2.       Iwould also like to ask you some questions about how you get along with otherchildren,I  get in trouble for fighting with other kids,1,,I   get in trouble for fighting with other kids,,,,,,,,,,,,,,
100,9794,k5h1,H1. Condition of health in general,"H1.       Ingeneral, how is your health?  Would you say it is …","H1.       Ingeneral, how is your health?  Would you say it is …",0,1,"Excellent,",2,"Very good,",3,"Good,",4,"Fair, or,",5,Poor?,-1,REFUSED,-2,DON’T KNOW,,
101,9795,k5h2,H2. Frequency you wear a seatbelt when riding in a car,H2.       Howoften do you wear a seatbelt when you are riding in a car? Would you say…,H2.       Howoften do you wear a seatbelt when you are riding in a car? Would you say…,0,1,"Never,",2,"Rarely,",3,"Sometimes, or,",4,Always?,-1,REFUSED,-2,DON’T KNOW,,,,
