,position,name,varlab,multiple_answers,probe,ps_text,val0,lab0,val1,lab1,val2,lab2,val3,lab3,val4,lab4,val5,lab5,val6,lab6,val7,lab7,val8,lab8,val9,lab9,val10,lab10,val11,lab11,val12,lab12,val13,lab13,val14,lab14,val15,lab15,val16,lab16,val17,lab17
89,104,f1b12c,"In last mo how often, disagree about sex?",1,The following is a list of subjects on which couples often have disagreements,Sex?,1,YES,2,NO,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,
90,105,f1b12d,"In last mo how often, disagree about the pregnancy?",1,The following is a list of subjects on which couples often have disagreements,The pregnancy?,1,YES,2,NO,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,
91,106,f1b12e,"In last mo how often, disagree about drinking/drug use?",1,The following is a list of subjects on which couples often have disagreements,Drinking or drug use ?,1,YES,2,NO,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,
92,107,f1b12f,"In last mo how often, disagree about being faithful?",1,The following is a list of subjects on which couples often have disagreements,Being faithful?,1,YES,2,NO,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,
93,108,f1b13a,How often is BM fair & willing to compromise?,1,"Thinking about your relationship with [BABY’S MOTHER], how often would you say             that:",She is fair and willing to compromise when,1,YES,2,NO,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,
94,109,f1b13b,How often does BM hit/slap you when angry?,1,"Thinking about your relationship with [BABY’S MOTHER], how often would you say             that:",She hits or slaps you when she is angry?,1,YES,2,NO,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,
95,110,f1b13c,How often does BM express affection/love for you?,1,"Thinking about your relationship with [BABY’S MOTHER], how often would you say             that:",She expresses affection or love for you?,1,YES,2,NO,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,
96,111,f1b13d,How often does BM insult/criticize you?,1,"Thinking about your relationship with [BABY’S MOTHER], how often would you say             that:",She insults or criticizes you or your ideas?,1,YES,2,NO,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,
97,112,f1b13e,How often does BM encourage or help you do things?,1,"Thinking about your relationship with [BABY’S MOTHER], how often would you say             that:",She encourages or helps you to do things,1,YES,2,NO,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,
98,113,f1b14,What do you think the chances you will marry BM in the future?,0,What do you think the chances are that you will marry [BABY’S MOTHER] in the      future?,What do you think the chances are that you will marry [BABY’S MOTHER] in the      future?,1,No chance,2,A little chance,3,A 50-50 chance,4,"A pretty good chance, or",5 (SKIP TO B15),An almost certain chance,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,
99,114,f1b14a,What do you think the chances are that you will ever marry someone?,1,What do you think the chances are that you will marry [BABY’S MOTHER] in the      future?,What do you think the chances are that you will ever marry someone?,1,YES,2,NO,3,A 50-50 chance,4,"A pretty good chance, or",5,An almost certain chance,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,
100,115,f1b15a,"How life diff if married BM, Financial security?",1,"For each of the following areas, please tell me how you think your life might be        different if you were married to [BABY’S MOTHER] now",Your financial security,1,YES,2,NO,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,
101,116,f1b15b,"How life diff if married BM, happiness?",1,"For each of the following areas, please tell me how you think your life might be        different if you were married to [BABY’S MOTHER] now",How about your overall,1,YES,2,NO,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,
102,117,f1b15c,"How life diff if married BM, freedom to do?",1,"For each of the following areas, please tell me how you think your life might be        different if you were married to [BABY’S MOTHER] now",Freedom to do what,1,YES,2,NO,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,
103,118,f1b15d,"How life diff if married BM, control over money?",1,"For each of the following areas, please tell me how you think your life might be        different if you were married to [BABY’S MOTHER] now",Your control over money?,1,YES,2,NO,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,
104,119,f1b15e,"How life diff if married BM, your sex life?",1,"For each of the following areas, please tell me how you think your life might be        different if you were married to [BABY’S MOTHER] now",Your sex life?,1,YES,2,NO,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,
105,120,f1b15f,"How life diff if married BM, relations w/parents?",1,"For each of the following areas, please tell me how you think your life might be        different if you were married to [BABY’S MOTHER] now",Your relations with,1,YES,2,NO,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,
106,121,f1b16,"During BM preg, did you give her money or buy things for the baby/ies?",0,"During [BABY’S MOTHER’S] pregnancy, did you give her money to buy things         for the baby/babies?","During [BABY’S MOTHER’S] pregnancy, did you give her money to buy things         for the baby/babies?",1,YES,2,NO,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,
107,122,f1b17,"Did you help in other ways, like providing transportation / doing chores?",0,"Did you help in other ways, such as providing transportation to the pre-natal clinic    or helping with chores?","Did you help in other ways, such as providing transportation to the pre-natal clinic    or helping with chores?",1,YES,2,NO,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,
108,123,f1b18,Do you want to be involved in raising your child(ren) in up coming years?,0,Do you want to be involved in raising your child (children) in the coming years?,Do you want to be involved in raising your child (children) in the coming years?,1,YES,2,NO,-2,DON’T KNOW,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,
109,124,f1b19,Does BM want you to be involved in raising the child(ren) in the coming years?,0,Does [BABY’S MOTHER] want you to be involved in raising your child in the            coming years?,Does [BABY’S MOTHER] want you to be involved in raising your child in the            coming years?,1,YES,2,NO,-2,DON’T KNOW,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,
110,125,f1b20,Int chk: Are BM & BF living together?,0,INTERVIEWER: ARE MOTHER AND FATHER LIVING TOGETHER?,INTERVIEWER: ARE MOTHER AND FATHER LIVING TOGETHER?,1 (GO TO B26 ON P. 16),YES,2,NO,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,
111,126,f1b21,Have you told BM you will provide fin support for B during the coming year?,0,Have you told [BABY’S MOTHER] that you will provide financial support for the        baby during the coming year?,Have you told [BABY’S MOTHER] that you will provide financial support for the        baby during the coming year?,1,YES,2 (GO TO B26 ON P. 16),NO,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,
112,127,f1b21a,About how much money/month did you say you would provide?,1,Have you told [BABY’S MOTHER] that you will provide financial support for the        baby during the coming year?,About how much money per month did you say you would provide?,1,YES,2,NO,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,
113,128,f1b22a,"In last mo, you and BM visited with friends?",1,I’m going to read you some things that couples often do together,Visited with friends?,1,YES,2,NO,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,
114,129,f1b22b,"In last mo, you and BM went out to a movie, sporting event, etc?",1,I’m going to read you some things that couples often do together,"Gone out to a movie, sporting event,",1,YES,2,NO,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,
115,130,f1b22c,"In last mo, you and BM ate out in a restaurant?",1,I’m going to read you some things that couples often do together,Ate out in a restaurant?,1,YES,2,NO,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,
116,131,f1b22d,"In last mo, you and BM helped wach other solve a problem?",1,I’m going to read you some things that couples often do together,Helped each other solve a problem?,1,YES,2,NO,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,
117,132,f1b23a,"In last mo, how often did you disagree about money?",1,The following is a list of subjects on which couples often have disagreements,"Money? Would you say often,",1,YES,2,NO,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,
118,133,f1b23b,"In last mo, how often did you disagree about spending time together?",1,The following is a list of subjects on which couples often have disagreements,Spending time together?,1,YES,2,NO,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,
119,134,f1b23c,"In last mo, how often did you disagree about sex?",1,The following is a list of subjects on which couples often have disagreements,Sex?,1,YES,2,NO,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,
120,135,f1b23d,"In last mo, how often did you disagree about the pregnancy?",1,The following is a list of subjects on which couples often have disagreements,The pregnancy?,1,YES,2,NO,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,
121,136,f1b23e,"In last mo, how often did you disagree about drinking/drug use?",1,The following is a list of subjects on which couples often have disagreements,Drinking or drug use?,1,YES,2,NO,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,
122,137,f1b23f,"In last mo, how often did you disagree about being faithful?",1,The following is a list of subjects on which couples often have disagreements,Being faithful?,1,YES,2,NO,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,
123,138,f1b24a,How would your life be different if NOT married to BM? Financial security?,1,"For each of the following areas, please tell me how you think your life might be        different if you were not married to [BABY’S MOTHER] now",Your financial security would,1,YES,2,NO,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,
124,139,f1b24b,"How life diff if NOT married BM, Overall happiness?",1,"For each of the following areas, please tell me how you think your life might be        different if you were not married to [BABY’S MOTHER] now",How about your overall,1,YES,2,NO,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,
125,140,f1b24c,"How life diff if NOT married BM, Freedom to do?",1,"For each of the following areas, please tell me how you think your life might be        different if you were not married to [BABY’S MOTHER] now",Freedom to do what you,1,YES,2,NO,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,
126,141,f1b24d,"How life diff if NOT married BM, Control over money?",1,"For each of the following areas, please tell me how you think your life might be        different if you were not married to [BABY’S MOTHER] now",Your control over money?,1,YES,2,NO,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,
127,142,f1b24e,"How life diff if NOT married BM, Your sex life?",1,"For each of the following areas, please tell me how you think your life might be        different if you were not married to [BABY’S MOTHER] now",Your sex life?,1,YES,2,NO,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,
128,143,f1b24f,"How life diff if NOT married BM, Relations w/parents?",1,"For each of the following areas, please tell me how you think your life might be        different if you were not married to [BABY’S MOTHER] now",Your relations with,1,YES,2,NO,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,
129,144,f1b25a,How often is BM fair & willing to compromise?,1,"Thinking about your relationship with [BABY’S MOTHER], how often would you say             that:",,1,YES,2,NO,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,
130,145,f1b25b,How often does BM hit/slap you when angry?,1,"Thinking about your relationship with [BABY’S MOTHER], how often would you say             that:",She hits or slaps you when he is angry?,1,YES,2,NO,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,
131,146,f1b25c,How often does BM express affection/love for you?,1,"Thinking about your relationship with [BABY’S MOTHER], how often would you say             that:",She expresses affection or love for you?,1,YES,2,NO,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,
132,147,f1b25d,How often does BM insult/criticize you?,1,"Thinking about your relationship with [BABY’S MOTHER], how often would you say             that:",She insults or criticizes you or your ideas?,1,YES,2,NO,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,
133,148,f1b25e,How often does BM encourage or help you do things?,1,"Thinking about your relationship with [BABY’S MOTHER], how often would you say             that:",,1,YES,2,NO,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,
134,149,f1b26,"After you found out she was preg., your rel. with BM got better, worse, same?",0,"After you found out she was pregnant, would you say your relationship with  [BABY’S MOTHER] got better, worse, or stayed the same?","After you found out she was pregnant, would you say your relationship with  [BABY’S MOTHER] got better, worse, or stayed the same?",1,BETTER,2,WORSE,3,STAYED THE SAME,-2,DON’T KNOW,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,
135,150,f1b27,"When you found out BM was preg., did you think about her having an abortion?",0,"When you found out [BABY’S MOTHER] was pregnant, did you think about her        having an abortion?","When you found out [BABY’S MOTHER] was pregnant, did you think about her        having an abortion?",1,YES,2,NO,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,
136,151,f1b28,Did you suggest that she have an abortion?,0,Did you suggest that she have an abortion?,Did you suggest that she have an abortion?,1,YES,2,NO,-2,can have,-2,have a new child,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,
137,152,cf1marm,Constructed - Is father married to baby's mother?,1,,,1,YES,2,NO,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,
138,153,cf1cohm,Constructed - Is father cohabiting with baby's mother - not including marrieds?,1,,,1,YES,2,NO,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,
139,154,f1c1a,"Being father is one of the most fulfilling experiences for a man, Agre/Disag?",1,"Please tell me whether you strongly agree, agree, disagree or strongly disagree with             the following statements: (HAND CARD 4)",,1,YES,2,NO,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,
140,155,f1c1b,"I want people to know I have a new child, Agre/Disag?",1,"Please tell me whether you strongly agree, agree, disagree or strongly disagree with             the following statements: (HAND CARD 4)",,1,YES,2,NO,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,
141,156,f1c1c,"Not being a part of child's life would be one of the worst things, Agre/Disag?",1,"Please tell me whether you strongly agree, agree, disagree or strongly disagree with             the following statements: (HAND CARD 4)",C1C Not being a part of my child’s,1,YES,2,NO,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,
142,157,f1c2a,How imp is it to provide regular financial support to children?,1,Fathers do many things for their children,Provide regular financial support?,1,YES,2,NO,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,
143,158,f1c2b,How imp is it to teach B about life?,1,Fathers do many things for their children,Teach child about life?,1,YES,2,NO,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,
144,159,f1c2c,How imp is it to provide direct care to B?,1,Fathers do many things for their children,"Provide direct care, such as",1,YES,2,NO,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,
145,160,f1c2d,How imp is it to show love and affection to the child?,1,Fathers do many things for their children,Show love and affection to the,1,YES,2,NO,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,
146,161,f1c2e,How imp is it to provide protection for child?,1,Fathers do many things for their children,Provide protection for the child?,1,YES,2,NO,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,
147,162,f1c2f,How imp is it to serve as authority figure and discipline the child?,1,Fathers do many things for their children,Serve as an authority figure and,1,YES,2,NO,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,
148,163,f1c3,Which of the above (Q. f1c2a-f1c2f) is the most important?,0,Which of these (HAND CARD 5) is the most important to you?,Which of these (HAND CARD 5) is the most important to you?,1,Provide regular financial support,2,Teach child about life,3,"Provide direct care, such as feeding, dressing, and child care",4,Show love and affection to the child,5,Provide protection for the child,6,Serve as an authority figure and discipline the child,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,
149,164,f1c3a,Which of the above (Q. f1c2a-f1c2f) is the least important?,1,Which of these (HAND CARD 5) is the most important to you?,Which of these (HAND CARD 5) is the least important to you?,1,YES,2,NO,3,"Provide direct care, such as feeding, dressing, and child care",4,Show love and affection to the child,5,Provide protection for the child,6,Serve as an authority figure and discipline the child,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,
150,165,f1c4a,"If BF provides fin. supp,should he have right to see the child regularly?",1,Now I’d like to ask you some questions about the rights and obligations of fathers      who live apart from their children,See his child on a regular basis,1,YES,2,NO,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,
151,166,f1c4b,"If BF provides fin. supp, should he have right to make decisions about child?",1,Now I’d like to ask you some questions about the rights and obligations of fathers      who live apart from their children,Make decisions about how the child is raised,1,YES,2,NO,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,
152,167,f1c5a,"If BF can afford fin. supp but doesn't, should he have the right to see child?",1,"If a father can afford to provide financial support but does not, do you think he            should have the right to:",See his child on a regular basis,1,YES,2,NO,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,
153,168,f1c5b,"If BF can afford fin. supp but doesn't, should he have right to make decisions?",1,"If a father can afford to provide financial support but does not, do you think he            should have the right to:",Make decisions about how the child is raised,1,YES,2,NO,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,
154,169,f1c6a,"If BF cannot afford fin. supp, should he have right to see the child regularly?",1,"If a father cannot afford to provide financial support, do you think he should have      the right to:",See his child on a regular basis,1,YES,2,NO,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,
155,170,f1c6b,"If BF cannot afford fin. supp, should he have right to make decisions about B?",1,"If a father cannot afford to provide financial support, do you think he should have      the right to:",Make decisions about how the child is raised,1,YES,2,NO,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,
156,171,f1c7,"If BM has new partner, should BF be required to provide fin. Supp. to B?",0,"If a mother has a new partner, do you think the baby’s father should be required to    provide financial support to his baby?","If a mother has a new partner, do you think the baby’s father should be required to    provide financial support to his baby?",1,YES,2,NO,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,
157,172,f1c8,If BF has new B w/other partner should he provide fin supp to previous children?,0,"If the father has a new baby with another partner, do you think he should be required             to provide support to his children from a previous relationship?","If the father has a new baby with another partner, do you think he should be required             to provide support to his children from a previous relationship?",1,YES,2,NO,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,
158,173,f1d1a,The main advantage of marriage is financial security?,1,"For each of the following statements, please tell me whether you strongly agree,   agree, disagree, or strongly disagree:",The main advantage of,1,YES,2,NO,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,
159,174,f1d1b,There are more advantages to being single than to being married?,1,"For each of the following statements, please tell me whether you strongly agree,   agree, disagree, or strongly disagree:","All in all, there are more",1,YES,2,NO,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,
160,175,f1d1c,Single M can bring up a child as well as married couple?,1,"For each of the following statements, please tell me whether you strongly agree,   agree, disagree, or strongly disagree:",A mother living alone can bring,1,YES,2,NO,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,
161,176,f1d1d,It is better for a couple to get married than just live together?,1,"For each of the following statements, please tell me whether you strongly agree,   agree, disagree, or strongly disagree:",It is better for a couple to,1,YES,2,NO,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,
162,177,f1d1e,It is better for children if their parents are married?,1,"For each of the following statements, please tell me whether you strongly agree,   agree, disagree, or strongly disagree:",It is better for children if,1,YES,2,NO,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,
163,178,f1d1f,Living together is just the same as being married?,1,"For each of the following statements, please tell me whether you strongly agree,   agree, disagree, or strongly disagree:",Living together is just the,1,YES,2,NO,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,
164,179,f1d2a,"How imp for successful marriage, have same friends?",1,How important do you think the following qualities are for a successful marriage?,Having the same friends?,1,YES,2,NO,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,
165,180,f1d2b,"How imp for successful marriage, husband has steady job?",1,How important do you think the following qualities are for a successful marriage?,The husband having a,1,YES,2,NO,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,
166,181,f1d2c,"How imp for successful marriage, wife has steady job?",1,How important do you think the following qualities are for a successful marriage?,The wife having a steady,1,YES,2,NO,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,
167,182,f1d2d,"How imp for successful marriage, both same race/ethnic?",1,How important do you think the following qualities are for a successful marriage?,Being of the same,1,YES,2,NO,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,
168,183,f1d2e,"How imp for successful marriage, good sex?",1,How important do you think the following qualities are for a successful marriage?,Having good sex,1,YES,2,NO,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,
169,184,f1d2f,"How imp for successful marriage, share same religion?",1,How important do you think the following qualities are for a successful marriage?,Having the same religious,1,YES,2,NO,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,
170,185,f1d2g,"How imp for successful marriage, both emotionally mature?",1,How important do you think the following qualities are for a successful marriage?,The husband and wife,1,YES,2,NO,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,
171,186,f1d3a,"The imp decisions in the family should be done by the man, Ag/Dis?",1,"Please tell me whether you strongly agree, agree, disagree, or strongly disagree  with the following statements: (HAND CARD 4)",The important decisions in,1,YES,2,NO,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,
172,187,f1d3b,Parents should stay together for the children even if they don't get along?,1,"Please tell me whether you strongly agree, agree, disagree, or strongly disagree  with the following statements: (HAND CARD 4)",When there are children in,1,YES,2,NO,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,
173,188,f1d3c,It is better if husband earns the main living and woman cares for family?,1,"Please tell me whether you strongly agree, agree, disagree, or strongly disagree  with the following statements: (HAND CARD 4)",It is much better for everyone,1,YES,2,NO,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,
174,189,f1d3d,"In dating, a woman is largely out to take advantage of a man?",1,"Please tell me whether you strongly agree, agree, disagree, or strongly disagree  with the following statements: (HAND CARD 4)","In a dating relationship,",1,YES,2,NO,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,
175,190,f1d3e,"Women cannot be trusted to be faithful, Ag/Dis?",1,"Please tell me whether you strongly agree, agree, disagree, or strongly disagree  with the following statements: (HAND CARD 4)",Women cannot be trusted to,1,YES,2,NO,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,
176,191,f1d3f,"More important for man to spend time w/his family than to work a lot, Ag/Dis?",1,"Please tell me whether you strongly agree, agree, disagree, or strongly disagree  with the following statements: (HAND CARD 4)",It is more important for a man,1,YES,2,NO,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,
177,192,f1d3g,"Fathers play more important role in raising boys than in raising girls, Ag/Dis?",1,"Please tell me whether you strongly agree, agree, disagree, or strongly disagree  with the following statements: (HAND CARD 4)",Fathers play a more important,1,YES,2,NO,1,MOTHER (BABY’S GRANDMOTHER),2,FATHER (BABY’S GRANDFATHER),3,PARTNER/WIFE/GIRLFRIEND,4,OTHER ADULT FRIEND OR RELATIVE,5,CHILD/STEP-CHILD/FOSTER CHILD,6,"OTHER CHILD (NIECE, NEPHEW, FRIEND)",7,OTHER,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,
178,193,f1e1b1,People who currently live in your HH - 1st relationship?,1,I’d like to make a list of the people other than you who currently live in your household,,1,YES,2,NO,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,
